Rank,Player,Share,Season
18T,Andre Iguodala,0.008,iguodan01
18T,LeBron James,0.008,jamesle01
18T,Travis Outlaw,0.008,outlatr01
21T,Brandon Bass,0.006,bassbr01
21T,Deron Williams,0.006,willide01
23T,Tyson Chandler,0.005,chandty01
23T,Dwight Howard,0.005,howardw01
23T,Linas Kleiza,0.005,kleizli01
23T,Jason Maxiell,0.005,maxieja01
23T,Shaquille O'Neal,0.005,onealsh01
28T,Danny Granger,0.003,grangda01
28T,Brandon Roy,0.003,roybr01
30T,Roger Mason,0.002,masonro01
30T,J.R. Smith,0.002,smithjr01
1,Monta Ellis,0.546,2006-07
2,Kevin Martin,0.541,martike02
3,Deron Williams,0.157,willide01
4,Tyson Chandler,0.112,chandty01
5,Andris Biedriņš,0.099,biedran01
6,Al Jefferson,0.096,jeffeal01
7,Luol Deng,0.068,denglu01
8,Leandro Barbosa,0.037,barbole01
9,Andre Iguodala,0.022,iguodan01
10,David Lee,0.019,leeda02
11,Jason Kapono,0.016,kaponja01
12T,Josh Howard,0.014,howarjo01
12T,Mikki Moore,0.014,mooremi01
14,Carlos Boozer,0.012,boozeca01
15,José Calderón,0.009,caldejo01
16,Amar'e Stoudemire,0.008,stoudam01
17T,Matt Carroll,0.005,carroma01
17T,Eddy Curry,0.005,curryed01
17T,Boštjan Nachbar,0.005,nachbbo01
20,Caron Butler,0.003,butleca01
21T,Andrew Bynum,0.002,bynuman01
21T,Ben Gordon,0.002,gordobe01
21T,Nenê,0.002,hilarne01
21T,Dwight Howard,0.002,howardw01
21T,Sasha Pavlović,0.002,pavloal01
21T,Josh Smith,0.002,smithjo03
21T,Gerald Wallace,0.002,wallage01
21T,Luke Walton,0.002,waltolu01
21T,Chris Wilcox,0.002,wilcoch01
1,Boris Diaw,0.776,2005-06
2,David West,0.449,2005-06
3,Nenad Krstić,0.103,2005-06
4,Gerald Wallace,0.073,2005-06
5,Chris Bosh,0.068,2005-06
6T,Andrés Nocioni,0.046,2005-06
6T,Tony Parker,0.046,2005-06
8,Mike James,0.033,2005-06
9,Carmelo Anthony,0.030,2005-06
10,Jameer Nelson,0.029,2005-06
11T,Yao Ming,0.022,2005-06
11T,Chris Kaman,0.022,2005-06
13,Elton Brand,0.016,2005-06
14T,DeSagana Diop,0.013,2005-06
14T,Smush Parker,0.013,2005-06
16T,Pau Gasol,0.010,2005-06
16T,Mehmet Okur,0.010,2005-06
18,Dwight Howard,0.008,howardw01
19T,Caron Butler,0.006,butleca01
19T,LeBron James,0.006,jamesle01
21T,Kevin Martin,0.003,martike02
21T,Zaza Pachulia,0.003,pachuza01
23T,Raja Bell,0.002,bellra01
23T,Kobe Bryant,0.002,bryanko01
23T,Luol Deng,0.002,denglu01
23T,Matt Harpring,0.002,harprma01
23T,Paul Pierce,0.002,piercpa01
23T,Bobby Simmons,0.002,simmobo01
23T,Josh Smith,0.002,smithjo03
23T,Chris Wilcox,0.002,wilcoch01
23T,Mo Williams,0.002,willima01
