Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
449,Peyton Watson,20,DEN,SG,23,2,8.1,1.3,2.6,0.492,0.3,0.6,0.429,1.0,2.0,0.511,0.542,0.5,0.9,0.55,0.3,1.3,1.6,0.5,0.1,0.5,0.3,0.6,3.3,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Boban Marjanović,34,HOU,C,31,0,5.5,1.3,1.9,0.683,0.0,0.0,0.0,1.3,1.9,0.695,0.683,0.6,0.9,0.741,0.6,1.3,1.9,0.3,0.2,0.1,0.5,0.3,3.3,23.0,286,4,2019-20,6.6,4.5,0.5,0.2,0.2,9.6,44.0,4.8,2.8,0.7,0.1,0.4,2.7,0.235,4.4,0.603,0.754
451,Dru Smith,25,2TM,SG,15,1,10.5,1.2,3.0,0.4,0.3,1.3,0.263,0.9,1.7,0.5,0.456,0.2,0.2,1.0,0.1,1.5,1.6,1.5,0.7,0.3,0.2,1.5,2.9,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,Dru Smith,25,MIA,SG,5,1,13.4,1.0,2.8,0.357,0.2,1.2,0.167,0.8,1.6,0.5,0.393,0.0,0.0,,0.2,1.6,1.8,1.0,0.8,0.6,0.2,2.0,2.2,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,Dru Smith,25,BRK,SG,10,0,9.1,1.3,3.1,0.419,0.4,1.3,0.308,0.9,1.8,0.5,0.484,0.3,0.3,1.0,0.1,1.4,1.5,1.7,0.6,0.1,0.2,1.3,3.3,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,Anthony Gill,30,WAS,PF,59,8,10.6,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.553,0.8,1.1,0.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,44.0,70,1,2021-22,4.1,1.9,0.6,0.1,0.3,10.5,44.0,2.5,1.4,0.4,0.3,0.6,1.1,0.538,1.9,0.578,0.808
453,Jared Rhoden,23,DET,SG,14,0,14.1,1.2,3.1,0.386,0.4,1.4,0.25,0.9,1.7,0.5,0.443,0.4,0.4,1.0,0.8,1.9,2.6,0.3,0.3,0.1,0.2,1.6,3.2,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,Max Christie,19,LAL,SG,41,3,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.538,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,Josh Minott,20,MIN,SF,15,0,6.4,1.2,2.4,0.5,0.1,0.4,0.333,1.1,2.0,0.533,0.528,0.5,0.5,1.0,0.3,1.3,1.7,0.3,0.3,0.4,0.2,0.7,3.1,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Richaun Holmes,29,SAC,C,42,1,8.3,1.3,2.1,0.618,0.1,0.2,0.625,1.2,1.9,0.617,0.646,0.4,0.5,0.789,0.7,1.2,1.9,0.2,0.1,0.3,0.3,1.2,3.1,45.0,376,7,2021-22,10.4,7.0,1.1,0.4,0.9,23.9,45.0,6.7,4.4,1.2,0.0,0.1,4.4,0.4,6.6,0.664,0.778
