Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
208,Mike James,PG,31,MIN,82,65,25.2,3.6,8.6,0.422,1.0,2.6,0.372,2.6,6.0,0.445,0.479,1.9,2.2,0.837,0.3,1.7,2.0,3.6,0.7,0.1,1.6,2.1,10.1,79.0,327,4,2005-06,20.3,3.3,5.8,0.9,0.0,37.0,79.0,15.5,7.3,2.6,2.1,4.8,5.2,0.442,10.7,0.481,0.837,2005-06
209,Antawn Jamison,PF,30,WAS,70,70,38.0,7.3,16.3,0.45,2.0,5.4,0.364,5.3,10.9,0.492,0.51,3.2,4.4,0.736,1.9,6.1,8.0,1.9,1.1,0.5,1.5,2.8,19.8,82.0,396,5,2005-06,20.5,9.3,1.9,1.1,0.1,40.1,82.0,18.2,8.0,1.7,1.8,4.5,6.3,0.394,13.7,0.458,0.731,2002-03
210,Marko Jarić,SG,28,MIN,70,13,22.2,1.9,4.6,0.418,0.5,1.2,0.376,1.5,3.4,0.433,0.468,1.0,1.3,0.761,0.8,1.9,2.6,2.1,1.1,0.2,1.3,2.5,5.3,75.0,249,4,2005-06,7.8,3.1,3.9,1.4,0.3,28.0,75.0,7.5,3.0,1.7,0.5,1.8,2.5,0.301,5.8,0.43,0.688,2004-05
211,Šarūnas Jasikevičius,SG-PG,30,TOT,63,3,15.4,2.0,5.1,0.398,0.7,2.1,0.338,1.3,3.0,0.438,0.466,1.4,1.5,0.905,0.2,0.9,1.1,2.7,0.4,0.0,1.4,1.2,6.1,75.0,75,1,2005-06,7.3,2.0,3.0,0.5,0.1,20.8,75.0,5.7,2.3,1.5,1.1,3.1,1.1,0.364,2.6,0.435,0.91,2005-06
211,Šarūnas Jasikevičius,SG,30,IND,37,1,17.9,2.5,6.0,0.412,0.9,2.3,0.372,1.6,3.6,0.437,0.484,1.6,1.7,0.922,0.3,1.0,1.3,3.0,0.4,0.0,1.6,1.4,7.4,75.0,75,1,2005-06,7.3,2.0,3.0,0.5,0.1,20.8,75.0,5.7,2.3,1.5,1.1,3.1,1.1,0.364,2.6,0.435,0.91,2005-06
211,Šarūnas Jasikevičius,PG,30,GSW,26,2,11.9,1.4,3.9,0.366,0.5,1.7,0.273,1.0,2.2,0.439,0.426,1.0,1.2,0.871,0.2,0.6,0.8,2.3,0.5,0.0,1.2,0.8,4.3,75.0,75,1,2005-06,7.3,2.0,3.0,0.5,0.1,20.8,75.0,5.7,2.3,1.5,1.1,3.1,1.1,0.364,2.6,0.435,0.91,2005-06
212,Al Jefferson,C,22,BOS,69,60,33.6,6.6,12.8,0.514,0.0,0.0,0.0,6.6,12.8,0.514,0.514,2.9,4.3,0.681,3.4,7.5,11.0,1.3,0.7,1.5,2.0,3.4,16.0,59.0,130,2,2005-06,7.9,5.1,0.5,0.5,0.8,18.0,59.0,6.4,3.2,1.1,0.0,0.1,3.2,0.0,6.4,0.504,0.642,2005-06
213,Richard Jefferson,SF,26,NJN,55,53,35.6,5.5,12.1,0.456,0.9,2.6,0.359,4.6,9.5,0.483,0.495,4.3,5.9,0.733,0.9,3.5,4.4,2.7,0.6,0.1,2.2,2.2,16.3,78.0,352,4,2005-06,19.5,6.8,3.8,0.8,0.2,39.2,78.0,12.9,6.3,2.2,0.8,2.4,5.6,0.319,10.5,0.532,0.812,2005-06
214,Jared Jeffries,SF,25,NYK,55,43,23.8,1.7,3.7,0.461,0.0,0.4,0.1,1.7,3.4,0.5,0.466,0.6,1.2,0.456,2.0,2.3,4.3,1.2,0.8,0.5,1.1,2.7,4.1,77.0,256,3,2005-06,6.4,4.9,1.9,0.8,0.6,25.3,77.0,5.4,2.4,1.3,0.2,0.6,2.2,0.32,4.7,0.468,0.589,2004-05
215,Alexander Johnson,PF,23,MEM,59,19,12.8,1.5,2.9,0.538,0.0,0.0,,1.5,2.9,0.538,0.538,1.3,2.0,0.661,0.8,2.2,3.1,0.3,0.4,0.6,0.8,2.3,4.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
