Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Previous Season,PS_PER,PS_TRB%,PS_AST%,PS_BPM,PS_VORP,PS_USG%,PS_WS,PS_WS/48,Best Season,BS_PER,BS_TRB%,BS_AST%,BS_BPM,BS_VORP,BS_USG%,BS_WS,BS_WS/48
46,Chauncey Billups,PG,34,TOT,72,2310,18.7,0.617,0.457,0.528,1.3,8.1,4.7,25.8,1.5,0.5,15.3,22.3,,6.6,1.4,8.0,0.166,,3.7,-1.2,2.6,2.7,2009-10,20.2,5.3,26.1,3.7,3.6,24.3,9.5,0.182,2009-10,20.2,5.3,26.1,3.7,3.6,24.3,9.5,0.182
46,Chauncey Billups,PG,34,DEN,51,1646,18.6,0.634,0.444,0.535,0.9,7.7,4.4,25.1,1.6,0.6,16.3,21.4,,4.7,1.1,5.8,0.171,,3.8,-0.9,2.9,2.1,2009-10,20.2,5.3,26.1,3.7,3.6,24.3,9.5,0.182,2009-10,20.2,5.3,26.1,3.7,3.6,24.3,9.5,0.182
46,Chauncey Billups,PG,34,NYK,21,664,19.1,0.582,0.484,0.512,2.2,9.0,5.6,27.4,1.4,0.2,13.2,24.3,,1.9,0.2,2.1,0.155,,3.4,-1.8,1.6,0.6,2009-10,20.2,5.3,26.1,3.7,3.6,24.3,9.5,0.182,2009-10,20.2,5.3,26.1,3.7,3.6,24.3,9.5,0.182
47,DeJuan Blair,PF,21,SAS,81,1734,17.1,0.524,0.003,0.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,,1.5,3.2,4.8,0.132,,-1.2,0.7,-0.5,0.7,2009-10,17.7,20.6,7.1,-0.7,0.5,20.8,4.6,0.147,2009-10,17.7,20.6,7.1,-0.7,0.5,20.8,4.6,0.147
48,Steve Blake,PG,30,LAL,79,1581,7.5,0.5,0.631,0.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,,0.3,1.5,1.8,0.055,,-2.6,0.2,-2.3,-0.1,2009-10,11.6,5.2,26.9,-0.5,0.8,14.5,3.3,0.074,2008-09,14.4,4.9,25.1,1.5,1.9,17.0,5.8,0.128
49,Andray Blatche,PF,24,WAS,64,2172,16.9,0.497,0.019,0.296,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,,0.3,2.1,2.4,0.053,,-0.3,-0.5,-0.9,0.6,2009-10,17.6,13.0,13.8,0.6,1.5,25.8,3.4,0.073,2009-10,17.6,13.0,13.8,0.6,1.5,25.8,3.4,0.073
50,Eric Bledsoe,PG,21,LAC,81,1841,10.8,0.499,0.239,0.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,,-1.3,1.6,0.3,0.008,,-2.4,0.2,-2.2,-0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Keith Bogans,SG,30,CHI,82,1461,9.0,0.559,0.772,0.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,,1.4,2.2,3.6,0.118,,-1.5,1.4,-0.2,0.7,2009-10,7.7,6.6,8.5,-1.2,0.3,11.0,2.6,0.081,2004-05,10.4,7.2,12.6,-3.9,-0.9,22.0,0.1,0.002
52,Andrew Bogut,C,26,MIL,65,2297,16.7,0.496,0.005,0.292,9.8,27.1,18.3,10.4,1.1,5.8,13.0,19.6,,0.3,5.1,5.4,0.112,,-1.0,2.4,1.3,1.9,2009-10,20.7,17.9,10.3,3.1,2.8,23.3,7.5,0.161,2009-10,20.7,17.9,10.3,3.1,2.8,23.3,7.5,0.161
53,Matt Bonner,PF,30,SAS,66,1432,13.5,0.617,0.62,0.116,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,,3.0,1.4,4.4,0.147,,1.7,0.2,1.9,1.4,2009-10,14.9,10.8,9.0,2.6,1.3,17.0,3.7,0.153,2008-09,15.0,11.9,6.8,2.1,2.0,14.6,6.8,0.169
54,Trevor Booker,PF,23,WAS,65,1063,15.3,0.582,0.004,0.399,10.2,17.0,13.5,5.2,1.4,3.0,11.3,13.9,,1.8,0.8,2.6,0.119,,-0.6,-0.3,-0.9,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Carlos Boozer,C,29,CHI,59,1882,18.8,0.542,0.0,0.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5,26.9,,1.9,3.9,5.8,0.149,,0.2,0.8,1.0,1.4,2009-10,21.3,19.4,15.8,3.4,3.7,24.8,9.9,0.178,2007-08,21.9,18.2,14.2,2.8,3.5,26.6,10.2,0.173
